,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
84,"APPLE iPhone 8 Plus (Silver, 256 GB)","₹84,900",Same Price,4.6,"3,443 Ratings & 355 Reviews",No offer,"256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
85,"APPLE iPhone 6s (Rose Gold, 32 GB)","₹25,299","₹29,900",4.5,"93,085 Ratings & 9,280 Reviews",15% off,32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
86,"APPLE iPhone 13 Pro (Silver, 128 GB)","₹1,19,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
87,"APPLE iPhone 13 Pro Max (Gold, 512 GB)","₹1,59,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
88,"APPLE iPhone 12 Pro (Pacific Blue, 256 GB)","₹1,14,900","₹1,19,900",4.6,"1,054 Ratings & 70 Reviews",4% off,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
89,"APPLE iPhone 13 Mini (Blue, 512 GB)","₹96,900","₹99,900",4.6,272 Ratings & 25 Reviews,3% off,512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
90,"APPLE iPhone 8 Plus (Space Grey, 256 GB)","₹84,900",Same Price,4.6,"3,443 Ratings & 355 Reviews",No offer,"256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
91,"APPLE iPhone 12 Pro (Gold, 256 GB)","₹1,14,900","₹1,19,900",4.6,"1,054 Ratings & 70 Reviews",4% off,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
92,"APPLE iPhone 13 Pro (Gold, 1 TB)","₹1,69,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
93,"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,04,900","₹1,09,900",4.6,"1,054 Ratings & 70 Reviews",4% off,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
94,"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)","₹1,79,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
95,"APPLE iPhone 13 Pro (Gold, 512 GB)","₹1,49,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
