,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
29,"APPLE iPhone 13 Mini (Pink, 128 GB)","₹69,900",Same Price,4.6,272 Ratings & 25 Reviews,No offer,128 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
30,"APPLE iPhone 12 Mini (Black, 256 GB)","₹64,999","₹74,900",4.5,"84,015 Ratings & 6,743 Reviews",13% off,"256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
31,"APPLE iPhone 13 Mini (Starlight, 512 GB)","₹96,900","₹99,900",4.6,272 Ratings & 25 Reviews,3% off,512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
32,"APPLE iPhone 12 Mini (Blue, 256 GB)","₹64,999","₹74,900",4.5,"84,015 Ratings & 6,743 Reviews",13% off,"256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
33,"APPLE iPhone SE (Red, 256 GB)","₹42,999","₹54,900",4.5,"1,41,146 Ratings & 11,244 Reviews",21% off,"256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
34,"APPLE iPhone SE (Black, 256 GB)","₹42,999","₹54,900",4.5,"1,41,146 Ratings & 11,244 Reviews",21% off,"256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
35,"APPLE iPhone 12 Pro (Gold, 512 GB)","₹1,34,900","₹1,39,900",4.6,"1,054 Ratings & 70 Reviews",3% off,"512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
36,"APPLE iPhone 12 Mini (Red, 256 GB)","₹64,999","₹74,900",4.5,"84,015 Ratings & 6,743 Reviews",13% off,"256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
37,"APPLE iPhone 12 Mini (Purple, 256 GB)","₹64,999","₹74,900",4.5,"84,015 Ratings & 6,743 Reviews",13% off,256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIP68 Water ResistanceAll Screen OLED DisplayBrand Warranty for 1 Year
38,"APPLE iPhone 13 Pro (Graphite, 256 GB)","₹1,29,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
